periode,jumlah_kasus
2000-01,727
2000-02,631
2000-03,600
2000-04,611
2000-05,536
2000-06,372
2000-07,328
2000-08,392
2000-09,386
2000-10,586
2000-11,603
2000-12,668
2001-01,643
2001-02,690
2001-03,741
2001-04,619
2001-05,550
2001-06,379
2001-07,358
2001-08,332
2001-09,351
2001-10,557
2001-11,716
2001-12,602
2002-01,634
2002-02,649
2002-03,717
2002-04,742
2002-05,500
2002-06,332
2002-07,404
2002-08,435
2002-09,373
2002-10,551
2002-11,747
2002-12,601
2003-01,729
2003-02,734
2003-03,743
2003-04,715
2003-05,543
2003-06,301
2003-07,372
2003-08,371
2003-09,387
2003-10,577
2003-11,674
2003-12,731
2004-01,698
2004-02,674
2004-03,723
2004-04,656
2004-05,580
2004-06,341
2004-07,323
2004-08,436
2004-09,346
2004-10,568
2004-11,679
2004-12,650
2005-01,601
2005-02,680
2005-03,720
2005-04,685
2005-05,591
2005-06,332
2005-07,382
2005-08,351
2005-09,347
2005-10,587
2005-11,668
2005-12,660
2006-01,673
2006-02,693
2006-03,712
2006-04,685
2006-05,533
2006-06,354
2006-07,334
2006-08,306
2006-09,382
2006-10,560
2006-11,659
2006-12,739
2007-01,693
2007-02,606
2007-03,690
2007-04,625
2007-05,573
2007-06,320
2007-07,372
2007-08,426
2007-09,375
2007-10,553
2007-11,657
2007-12,715
2008-01,693
2008-02,706
2008-03,744
2008-04,715
2008-05,557
2008-06,391
2008-07,327
2008-08,433
2008-09,313
2008-10,575
2008-11,655
2008-12,625
2009-01,700
2009-02,605
2009-03,737
2009-04,600
2009-05,573
2009-06,345
2009-07,401
2009-08,317
2009-09,407
2009-10,579
2009-11,677
2009-12,602
2010-01,712
2010-02,723
2010-03,697
2010-04,682
2010-05,526
2010-06,358
2010-07,440
2010-08,300
2010-09,363
2010-10,546
2010-11,646
2010-12,647
2011-01,608
2011-02,663
2011-03,685
2011-04,608
2011-05,561
2011-06,413
2011-07,382
2011-08,331
2011-09,405
2011-10,585
2011-11,690
2011-12,703
2012-01,677
2012-02,693
2012-03,743
2012-04,674
2012-05,553
2012-06,375
2012-07,407
2012-08,426
2012-09,359
2012-10,513
2012-11,717
2012-12,609
2013-01,698
2013-02,676
2013-03,631
2013-04,633
2013-05,526
2013-06,371
2013-07,306
2013-08,370
2013-09,342
2013-10,566
2013-11,667
2013-12,654
2014-01,645
2014-02,690
2014-03,743
2014-04,663
2014-05,528
2014-06,417
2014-07,414
2014-08,406
2014-09,300
2014-10,514
2014-11,732
2014-12,662
2015-01,685
2015-02,747
2015-03,698
2015-04,644
2015-05,591
2015-06,361
2015-07,415
2015-08,401
2015-09,358
2015-10,597
2015-11,675
2015-12,670
2016-01,720
2016-02,638
2016-03,740
2016-04,656
2016-05,516
2016-06,381
2016-07,320
2016-08,408
2016-09,362
2016-10,549
2016-11,647
2016-12,712
2017-01,612
2017-02,645
2017-03,725
2017-04,746
2017-05,505
2017-06,444
2017-07,388
2017-08,418
2017-09,383
2017-10,556
2017-11,626
2017-12,632
2018-01,636
2018-02,602
2018-03,743
2018-04,729
2018-05,538
2018-06,342
2018-07,340
2018-08,399
2018-09,345
2018-10,539
2018-11,604
2018-12,629
2019-01,658
2019-02,611
2019-03,640
2019-04,749
2019-05,583
2019-06,320
2019-07,406
2019-08,408
2019-09,331
2019-10,548
2019-11,727
2019-12,688
2020-01,657
2020-02,689
2020-03,686
2020-04,741
2020-05,571
2020-06,364
2020-07,328
2020-08,360
2020-09,336
2020-10,542
2020-11,648
2020-12,634
2021-01,680
2021-02,653
2021-03,708
2021-04,690
2021-05,562
2021-06,351
2021-07,407
2021-08,355
2021-09,443
2021-10,523
2021-11,738
2021-12,743
2022-01,630
2022-02,674
2022-03,704
2022-04,694
2022-05,575
2022-06,444
2022-07,447
2022-08,311
2022-09,370
2022-10,591
2022-11,720
2022-12,649
2023-01,670
2023-02,687
2023-03,670
2023-04,688
2023-05,568
2023-06,367
2023-07,403
2023-08,337
2023-09,437
2023-10,540
2023-11,749
2023-12,668
2024-01,621
2024-02,684
2024-03,695
2024-04,650
2024-05,580
2024-06,330
2024-07,345
2024-08,319
2024-09,302
2024-10,528
2024-11,684
